ticker,date,weight_saa,weight_taa,net_weight,weight_benchmark
USEQ_US,2025-12-26,0.198,0,0.198,0.275
CNEQ_CN,2025-12-26,0.132,0,0.132,0.11
EUEQ_DE,2025-12-26,0.0363,0,0.0363,0.054450000000000005
EUEQ_FR,2025-12-26,0.0363,0,0.0363,0.054450000000000005
EUEQ_ES,2025-12-26,0.0187,0,0.0187,0.028050000000000002
EUEQ_IT,2025-12-26,0.0187,0,0.0187,0.028050000000000002
THEME_GRID,2025-12-26,0.044000000000000004,0,0.044000000000000004,0
THEME_SOLAR,2025-12-26,0.022000000000000002,0,0.022000000000000002,0
THEME_COPPER_CL,2025-12-26,0.022000000000000002,0,0.022000000000000002,0
THEME_DEFENCE,2025-12-26,0.022000000000000002,0,0.022000000000000002,0
USBO10,2025-12-26,0.175,0,0.175,0.175
DEBO10,2025-12-26,0.0875,0,0.0875,0.0875
UKBO10,2025-12-26,0.0875,0.3,0.38749999999999996,0.0875
GLGOLD,2025-12-26,0.1,0,0.1,0.1
CASH_USD,2025-12-26,0,0,0,0
CASH_CHF,2025-12-26,0,0,0,0
CASH_EUR,2025-12-26,0,0,0,0
CASH_GBP,2025-12-26,0,-0.3,-0.3,0
FX_USDCHF,2025-12-26,0,0,0,0
FX_USDEUR,2025-12-26,0,0,0,0
FX_USDGBP,2025-12-26,0,0,0,0
